"","...1","family","father","mother","midparentHeight","children","childNum","sex","childHeight"
"98",98,"027",72,63,70.02,3,1,"male",69
"99",99,"027",72,63,70.02,3,2,"male",67
"100",100,"027",72,63,70.02,3,3,"female",63
"101",101,"028",72,63,70.02,6,1,"male",73
"102",102,"028",72,63,70.02,6,2,"male",67
"103",103,"028",72,63,70.02,6,3,"female",70.5
"104",104,"028",72,63,70.02,6,4,"female",70
"105",105,"028",72,63,70.02,6,5,"female",66.5
"106",106,"028",72,63,70.02,6,6,"female",63
"107",107,"029",72.5,63.5,70.54,3,1,"female",67.5
"108",108,"029",72.5,63.5,70.54,3,2,"female",67.2
"109",109,"029",72.5,63.5,70.54,3,3,"female",66.7
"110",110,"030",72,62,69.48,1,1,"female",64
"111",111,"031",72.5,62,69.73,6,1,"male",71
"112",112,"031",72.5,62,69.73,6,2,"male",70
"113",113,"031",72.5,62,69.73,6,3,"male",70
"114",114,"031",72.5,62,69.73,6,4,"female",66
"115",115,"031",72.5,62,69.73,6,5,"female",65
"116",116,"031",72.5,62,69.73,6,6,"female",65
"117",117,"032",72,62,69.48,5,1,"male",74
"118",118,"032",72,62,69.48,5,2,"male",72
"119",119,"032",72,62,69.48,5,3,"male",69
"120",120,"032",72,62,69.48,5,4,"female",67.5
"121",121,"032",72,62,69.48,5,5,"female",63.5
"122",122,"033",72,62,69.48,5,1,"male",72
"123",123,"033",72,62,69.48,5,2,"male",71.5
"124",124,"033",72,62,69.48,5,3,"male",71.5
"125",125,"033",72,62,69.48,5,4,"male",70
"126",126,"033",72,62,69.48,5,5,"female",68
"127",127,"034",72,61,68.94,1,1,"female",65.7
"128",128,"035",71,69,72.76,5,1,"male",78
"129",129,"035",71,69,72.76,5,2,"male",74
"130",130,"035",71,69,72.76,5,3,"male",73
"131",131,"035",71,69,72.76,5,4,"male",72
"132",132,"035",71,69,72.76,5,5,"female",67
"133",133,"036",71,67,71.68,4,1,"male",73.2
"134",134,"036",71,67,71.68,4,2,"male",73
"135",135,"036",71,67,71.68,4,3,"male",69
"136",136,"036",71,67,71.68,4,4,"female",67
"137",137,"037",71,66,71.14,4,1,"male",70
"138",138,"037",71,66,71.14,4,2,"female",67
"139",139,"037",71,66,71.14,4,3,"female",67
"140",140,"037",71,66,71.14,4,4,"female",66.5
"141",141,"038",71,66,71.14,6,1,"male",70
"142",142,"038",71,66,71.14,6,2,"male",69
"143",143,"038",71,66,71.14,6,3,"male",68.5
"144",144,"038",71,66,71.14,6,4,"female",66
"145",145,"038",71,66,71.14,6,5,"female",64.5
"146",146,"038",71,66,71.14,6,6,"female",63
"147",147,"039",71,66,71.14,2,1,"male",71
"148",148,"039",71,66,71.14,2,2,"female",67
"149",149,"040",71,66,71.14,5,1,"male",76
"150",150,"040",71,66,71.14,5,2,"male",72
"151",151,"040",71,66,71.14,5,3,"male",71
"152",152,"040",71,66,71.14,5,4,"male",66
"153",153,"040",71,66,71.14,5,5,"female",66
"154",154,"041",71.7,65.5,71.22,1,1,"male",70.5
"155",155,"042",71,65.5,70.87,6,1,"male",72
"156",156,"042",71,65.5,70.87,6,2,"male",72
"157",157,"042",71,65.5,70.87,6,3,"male",71
"158",158,"042",71,65.5,70.87,6,4,"male",69
"159",159,"042",71,65.5,70.87,6,5,"female",66
"160",160,"042",71,65.5,70.87,6,6,"female",65
"161",161,"043",71.5,65.5,71.12,2,1,"male",73
"162",162,"043",71.5,65.5,71.12,2,2,"female",65.2
"163",163,"044",71.5,65,70.85,2,1,"male",68.5
"164",164,"044",71.5,65,70.85,2,2,"male",67.7
"165",165,"045",71,65,70.6,3,1,"male",68
"166",166,"045",71,65,70.6,3,2,"male",68
"167",167,"045",71,65,70.6,3,3,"female",62
"168",168,"046",71,64,70.06,8,1,"female",68
"169",169,"046",71,64,70.06,8,2,"female",68
"170",170,"046",71,64,70.06,8,3,"female",67.5
"171",171,"046",71,64,70.06,8,4,"female",66.5
"172",172,"046",71,64,70.06,8,5,"female",66.5
"173",173,"046",71,64,70.06,8,6,"female",66
"174",174,"046",71,64,70.06,8,7,"female",65.5
"175",175,"046",71,64,70.06,8,8,"female",65
"176",176,"047",71.7,64.5,70.68,4,1,"male",72
"177",177,"047",71.7,64.5,70.68,4,2,"male",71
"178",178,"047",71.7,64.5,70.68,4,3,"male",70.5
"179",179,"047",71.7,64.5,70.68,4,4,"female",67
"180",180,"048",71,64,70.06,3,1,"male",68
"181",181,"048",71,64,70.06,3,2,"male",68
"182",182,"048",71,64,70.06,3,3,"male",68
"183",183,"049",71.5,64.5,70.58,7,1,"male",72
"184",184,"049",71.5,64.5,70.58,7,2,"male",71
"185",185,"049",71.5,64.5,70.58,7,3,"male",70
"186",186,"049",71.5,64.5,70.58,7,4,"female",66
"187",187,"049",71.5,64.5,70.58,7,5,"female",64.5
"188",188,"049",71.5,64.5,70.58,7,6,"female",64.5
"189",189,"049",71.5,64.5,70.58,7,7,"female",62
"190",190,"050",71,64.5,70.33,2,1,"male",73
"191",191,"050",71,64.5,70.33,2,2,"female",62
"192",192,"051",71.2,63,69.62,2,1,"female",67.5
"193",193,"051",71.2,63,69.62,2,2,"female",64.5
"194",194,"052",71,63.5,69.79,5,1,"male",71
"195",195,"052",71,63.5,69.79,5,2,"male",67
"196",196,"052",71,63.5,69.79,5,3,"female",66
"197",197,"052",71,63.5,69.79,5,4,"female",65
"198",198,"052",71,63.5,69.79,5,5,"female",63.5
"199",199,"053",71,63,69.52,9,1,"male",71
"200",200,"053",71,63,69.52,9,2,"male",70
"201",201,"053",71,63,69.52,9,3,"male",70
"202",202,"053",71,63,69.52,9,4,"male",64
"203",203,"053",71,63,69.52,9,5,"female",65
"204",204,"053",71,63,69.52,9,6,"female",65
"205",205,"053",71,63,69.52,9,7,"female",64
"206",206,"053",71,63,69.52,9,8,"female",63
"207",207,"053",71,63,69.52,9,9,"female",63
"208",208,"054",71,63,69.52,4,1,"male",71
"209",209,"054",71,63,69.52,4,2,"male",71
"210",210,"054",71,63,69.52,4,3,"male",70
"211",211,"054",71,63,69.52,4,4,"female",63.5
"212",212,"055",71,62,68.98,5,1,"male",71
"213",213,"055",71,62,68.98,5,2,"male",70
"214",214,"055",71,62,68.98,5,3,"female",64.5
"215",215,"055",71,62,68.98,5,4,"female",62.5
"216",216,"055",71,62,68.98,5,5,"female",61.5
"217",217,"056",71,62,68.98,5,1,"male",72
"218",218,"056",71,62,68.98,5,2,"male",70.5
"219",219,"056",71,62,68.98,5,3,"male",70.5
"220",220,"056",71,62,68.98,5,4,"female",64.5
"221",221,"056",71,62,68.98,5,5,"female",60
"222",222,"057",71,62.5,69.25,5,1,"male",70
"223",223,"057",71,62.5,69.25,5,2,"female",64
"224",224,"057",71,62.5,69.25,5,3,"female",64
"225",225,"057",71,62.5,69.25,5,4,"female",64
"226",226,"057",71,62.5,69.25,5,5,"female",62.5
"227",227,"058",71,62,68.98,7,1,"male",70.5
"228",228,"058",71,62,68.98,7,2,"male",70
"229",229,"058",71,62,68.98,7,3,"male",69
"230",230,"058",71,62,68.98,7,4,"male",69
"231",231,"058",71,62,68.98,7,5,"male",66
"232",232,"058",71,62,68.98,7,6,"female",64.5
"233",233,"058",71,62,68.98,7,7,"female",64
"234",234,"059",71,61,68.44,1,1,"female",62
"235",235,"060",71,58,66.82,2,1,"male",71.5
"236",236,"060",71,58,66.82,2,2,"male",69
"237",237,"061",70,69,72.26,4,1,"male",71
"238",238,"061",70,69,72.26,4,2,"male",70
"239",239,"061",70,69,72.26,4,3,"male",69
"240",240,"061",70,69,72.26,4,4,"female",69
"241",241,"062",70,69,72.26,6,1,"male",70
"242",242,"062",70,69,72.26,6,2,"male",68.7
"243",243,"062",70,69,72.26,6,3,"female",68
"244",244,"062",70,69,72.26,6,4,"female",66
"245",245,"062",70,69,72.26,6,5,"female",64
"246",246,"062",70,69,72.26,6,6,"female",62
"247",247,"063",70,68,71.72,1,1,"male",75
"248",248,"064",70,67,71.18,5,1,"male",70
"249",249,"064",70,67,71.18,5,2,"male",69
"250",250,"064",70,67,71.18,5,3,"female",66
"251",251,"064",70,67,71.18,5,4,"female",64
"252",252,"064",70,67,71.18,5,5,"female",60
"253",253,"065",70,67,71.18,1,1,"female",67.5
"254",254,"066",70,66.5,70.91,11,1,"male",73
"255",255,"066",70,66.5,70.91,11,2,"male",72
"256",256,"066",70,66.5,70.91,11,3,"male",72
"257",257,"066",70,66.5,70.91,11,4,"male",66.5
"258",258,"066",70,66.5,70.91,11,5,"female",69.2
"259",259,"066",70,66.5,70.91,11,6,"female",67.2
"260",260,"066",70,66.5,70.91,11,7,"female",66.5
"261",261,"066",70,66.5,70.91,11,8,"female",66
"262",262,"066",70,66.5,70.91,11,9,"female",66
"263",263,"066",70,66.5,70.91,11,10,"female",64.2
"264",264,"066",70,66.5,70.91,11,11,"female",63.7
"265",265,"067",70.5,65,70.35,4,1,"male",72
"266",266,"067",70.5,65,70.35,4,2,"male",70.2
"267",267,"067",70.5,65,70.35,4,3,"male",69
"268",268,"067",70.5,65,70.35,4,4,"male",68.5
"269",269,"068",70.5,65,70.35,5,1,"female",68
"270",270,"068",70.5,65,70.35,5,2,"female",65
"271",271,"068",70.5,65,70.35,5,3,"female",61.5
"272",272,"068",70.5,65,70.35,5,4,"female",61
"273",273,"068",70.5,65,70.35,5,5,"female",61
"274",274,"069",70,65,70.1,8,1,"male",73
"275",275,"069",70,65,70.1,8,2,"male",72
"276",276,"069",70,65,70.1,8,3,"male",70.5
"277",277,"069",70,65,70.1,8,4,"male",65
"278",278,"069",70,65,70.1,8,5,"male",65
"279",279,"069",70,65,70.1,8,6,"female",64.5
"280",280,"069",70,65,70.1,8,7,"female",63
"281",281,"069",70,65,70.1,8,8,"female",62
"282",282,"070",70,65,70.1,5,1,"male",67
"283",283,"070",70,65,70.1,5,2,"male",65
"284",284,"070",70,65,70.1,5,3,"female",64.5
"285",285,"070",70,65,70.1,5,4,"female",62.5
"286",286,"070",70,65,70.1,5,5,"female",62.5
"287",287,"071",70,65,70.1,6,1,"male",70
"288",288,"071",70,65,70.1,6,2,"male",70
"289",289,"071",70,65,70.1,6,3,"female",67
"290",290,"071",70,65,70.1,6,4,"female",65
"291",291,"071",70,65,70.1,6,5,"female",65
"292",292,"071",70,65,70.1,6,6,"female",63
"293",293,"072",70,65,70.1,7,1,"male",79
"294",294,"072",70,65,70.1,7,2,"male",75
"295",295,"072",70,65,70.1,7,3,"male",71
"296",296,"072",70,65,70.1,7,4,"female",69
"297",297,"072",70,65,70.1,7,5,"female",67
"298",298,"072",70,65,70.1,7,6,"female",65.7
"299",299,"072",70,65,70.1,7,7,"female",62
"300",300,"073",70,65,70.1,3,1,"male",73
"301",301,"073",70,65,70.1,3,2,"male",72.5
"302",302,"073",70,65,70.1,3,3,"female",65
"303",303,"074",70,65,70.1,2,1,"male",69
"304",304,"074",70,65,70.1,2,2,"male",69
"305",305,"075",70,64.7,69.938,7,1,"male",72
"306",306,"075",70,64.7,69.938,7,2,"male",70
"307",307,"075",70,64.7,69.938,7,3,"male",68.7
"308",308,"075",70,64.7,69.938,7,4,"female",66.5
"309",309,"075",70,64.7,69.938,7,5,"female",65.5
"310",310,"075",70,64.7,69.938,7,6,"female",64.7
"311",311,"075",70,64.7,69.938,7,7,"female",64.5
"312",312,"076",70,64,69.56,7,1,"male",70.7
"313",313,"076",70,64,69.56,7,2,"male",70
"314",314,"076",70,64,69.56,7,3,"male",68
"315",315,"076",70,64,69.56,7,4,"male",67
"316",316,"076",70,64,69.56,7,5,"male",66
"317",317,"076",70,64,69.56,7,6,"male",65
"318",318,"076",70,64,69.56,7,7,"female",67
"319",319,"077",70,64,69.56,4,1,"male",70
"320",320,"077",70,64,69.56,4,2,"male",68
"321",321,"077",70,64,69.56,4,3,"male",66.7
"322",322,"077",70,64,69.56,4,4,"female",65.5
"323",323,"078",70,64.2,69.668,5,1,"male",72
"324",324,"078",70,64.2,69.668,5,2,"male",70
"325",325,"078",70,64.2,69.668,5,3,"female",62.5
"326",326,"078",70,64.2,69.668,5,4,"female",61.2
"327",327,"078",70,64.2,69.668,5,5,"female",60.1
"328",328,"079",70.5,64,69.81,8,1,"male",74
"329",329,"079",70.5,64,69.81,8,2,"male",69.5
"330",330,"079",70.5,64,69.81,8,3,"male",69
"331",331,"079",70.5,64,69.81,8,4,"male",68
"332",332,"079",70.5,64,69.81,8,5,"male",68
"333",333,"079",70.5,64,69.81,8,6,"male",68
"334",334,"079",70.5,64,69.81,8,7,"female",65.5
"335",335,"079",70.5,64,69.81,8,8,"female",65
"336",336,"080",70.5,64.5,70.08,1,1,"female",60
"337",337,"081",70,64,69.56,4,1,"male",68
"338",338,"081",70,64,69.56,4,2,"female",65
"339",339,"081",70,64,69.56,4,3,"female",64
"340",340,"081",70,64,69.56,4,4,"female",62
"341",341,"082",70,64,69.56,9,1,"male",71
"342",342,"082",70,64,69.56,9,2,"male",70
"343",343,"082",70,64,69.56,9,3,"male",70
"344",344,"082",70,64,69.56,9,4,"male",70
"345",345,"082",70,64,69.56,9,5,"male",69.5
"346",346,"082",70,64,69.56,9,6,"male",68.5
"347",347,"082",70,64,69.56,9,7,"female",69
"348",348,"082",70,64,69.56,9,8,"female",65
"349",349,"082",70,64,69.56,9,9,"female",64
"350",350,"083",70,63.7,69.398,8,1,"male",70
"351",351,"083",70,63.7,69.398,8,2,"male",67
"352",352,"083",70,63.7,69.398,8,3,"male",65.5
"353",353,"083",70,63.7,69.398,8,4,"female",63.7
"354",354,"083",70,63.7,69.398,8,5,"female",63.2
"355",355,"083",70,63.7,69.398,8,6,"female",62.5
"356",356,"083",70,63.7,69.398,8,7,"female",62.2
"357",357,"083",70,63.7,69.398,8,8,"female",61
"358",358,"084",70.5,63,69.27,4,1,"male",70
"359",359,"084",70.5,63,69.27,4,2,"male",68.5
"360",360,"084",70.5,63,69.27,4,3,"female",65.5
"361",361,"084",70.5,63,69.27,4,4,"female",63.5
"362",362,"085",70.5,63,69.27,5,1,"male",72.5
"363",363,"085",70.5,63,69.27,5,2,"male",69
"364",364,"085",70.5,63,69.27,5,3,"male",67
"365",365,"085",70.5,63,69.27,5,4,"female",64.5
"366",366,"085",70.5,63,69.27,5,5,"female",64
"367",367,"086",70,63.5,69.29,4,1,"male",71
"368",368,"086",70,63.5,69.29,4,2,"male",67.5
"369",369,"086",70,63.5,69.29,4,3,"female",67.5
"370",370,"086",70,63.5,69.29,4,4,"female",63.5
"371",371,"087",70,63,69.02,4,1,"male",68
"372",372,"087",70,63,69.02,4,2,"male",67
"373",373,"087",70,63,69.02,4,3,"female",63.7
"374",374,"087",70,63,69.02,4,4,"female",62
"375",375,"088",70,63,69.02,4,1,"male",70
"376",376,"088",70,63,69.02,4,2,"male",66.5
"377",377,"088",70,63,69.02,4,3,"female",62
"378",378,"088",70,63,69.02,4,4,"female",61
"379",379,"089",70.5,62,68.73,8,1,"male",72
"380",380,"089",70.5,62,68.73,8,2,"male",70
"381",381,"089",70.5,62,68.73,8,3,"male",69.5
"382",382,"089",70.5,62,68.73,8,4,"male",69.5
"383",383,"089",70.5,62,68.73,8,5,"male",68
"384",384,"089",70.5,62,68.73,8,6,"female",65
"385",385,"089",70.5,62,68.73,8,7,"female",64
"386",386,"089",70.5,62,68.73,8,8,"female",63
"387",387,"090",70.3,62.7,69.008,7,1,"male",70.7
"388",388,"090",70.3,62.7,69.008,7,2,"male",69.7
"389",389,"090",70.3,62.7,69.008,7,3,"male",69.2
"390",390,"090",70.3,62.7,69.008,7,4,"male",65.2
"391",391,"090",70.3,62.7,69.008,7,5,"female",64
"392",392,"090",70.3,62.7,69.008,7,6,"female",63.5
"393",393,"090",70.3,62.7,69.008,7,7,"female",63.2
"394",394,"091",70.5,62,68.73,3,1,"male",72
"395",395,"091",70.5,62,68.73,3,2,"male",72
"396",396,"091",70.5,62,68.73,3,3,"female",60
"397",397,"092",70,61,67.94,2,1,"male",71.2
"398",398,"092",70,61,67.94,2,2,"male",67
"399",399,"093",70,60,67.4,4,1,"male",67
"400",400,"093",70,60,67.4,4,2,"male",64.5
"401",401,"093",70,60,67.4,4,3,"female",65
"402",402,"093",70,60,67.4,4,4,"female",63
"403",403,"094",70,60,67.4,2,1,"female",65
"404",404,"094",70,60,67.4,2,2,"female",65
"405",405,"095",70,58.5,66.59,3,1,"male",71.5
"406",406,"095",70,58.5,66.59,3,2,"male",64.5
"407",407,"095",70,58.5,66.59,3,3,"female",63
"408",408,"096",70,58,66.32,5,1,"male",72
"409",409,"096",70,58,66.32,5,2,"male",66
"410",410,"096",70,58,66.32,5,3,"female",66
"411",411,"096",70,58,66.32,5,4,"female",65
"412",412,"096",70,58,66.32,5,5,"female",63
"413",413,"097",69,68.5,71.49,10,1,"male",75
"414",414,"097",69,68.5,71.49,10,2,"male",71
"415",415,"097",69,68.5,71.49,10,3,"male",70
"416",416,"097",69,68.5,71.49,10,4,"female",66
"417",417,"097",69,68.5,71.49,10,5,"female",66
"418",418,"097",69,68.5,71.49,10,6,"female",65.5
"419",419,"097",69,68.5,71.49,10,7,"female",65
"420",420,"097",69,68.5,71.49,10,8,"female",65
"421",421,"097",69,68.5,71.49,10,9,"female",64
"422",422,"097",69,68.5,71.49,10,10,"female",64
"423",423,"098",69,67,70.68,1,1,"female",64
"424",424,"099",69,66,70.14,8,1,"male",73
"425",425,"099",69,66,70.14,8,2,"male",72
"426",426,"099",69,66,70.14,8,3,"male",71.7
"427",427,"099",69,66,70.14,8,4,"male",71.5
"428",428,"099",69,66,70.14,8,5,"female",65.5
"429",429,"099",69,66,70.14,8,6,"female",65
"430",430,"099",69,66,70.14,8,7,"female",62.7
"431",431,"099",69,66,70.14,8,8,"female",62.5
"432",432,"100",69,66,70.14,3,1,"male",71.2
"433",433,"100",69,66,70.14,3,2,"male",71
"434",434,"100",69,66,70.14,3,3,"male",70
"435",435,"101",69,66.7,70.518,4,1,"male",75
"436",436,"101",69,66.7,70.518,4,2,"male",74
"437",437,"101",69,66.7,70.518,4,3,"male",72
"438",438,"101",69,66.7,70.518,4,4,"male",68.5
"439",439,"102",69,66,70.14,6,1,"male",70
"440",440,"102",69,66,70.14,6,2,"male",68.5
"441",441,"102",69,66,70.14,6,3,"male",68
"442",442,"102",69,66,70.14,6,4,"female",65
"443",443,"102",69,66,70.14,6,5,"female",63
"444",444,"102",69,66,70.14,6,6,"female",62.5
"445",445,"103",69,66.5,70.41,7,1,"male",73
"446",446,"103",69,66.5,70.41,7,2,"male",71
"447",447,"103",69,66.5,70.41,7,3,"male",70.5
"448",448,"103",69,66.5,70.41,7,4,"male",70.5
"449",449,"103",69,66.5,70.41,7,5,"male",67
"450",450,"103",69,66.5,70.41,7,6,"male",66
"451",451,"103",69,66.5,70.41,7,7,"female",61
"452",452,"104",69.5,66.5,70.66,4,1,"male",70.5
"453",453,"104",69.5,66.5,70.66,4,2,"male",67.5
"454",454,"104",69.5,66.5,70.66,4,3,"female",64.5
"455",455,"104",69.5,66.5,70.66,4,4,"female",64
"456",456,"105",69,66.5,70.41,6,1,"male",71
"457",457,"105",69,66.5,70.41,6,2,"female",68.5
"458",458,"105",69,66.5,70.41,6,3,"female",67.5
"459",459,"105",69,66.5,70.41,6,4,"female",66
"460",460,"105",69,66.5,70.41,6,5,"female",63
"461",461,"105",69,66.5,70.41,6,6,"female",63
"462",462,"106",69.5,66,70.39,7,1,"male",71
"463",463,"106",69.5,66,70.39,7,2,"male",71
"464",464,"106",69.5,66,70.39,7,3,"male",70.5
"465",465,"106",69.5,66,70.39,7,4,"male",70.5
"466",466,"106",69.5,66,70.39,7,5,"female",66.5
"467",467,"106",69.5,66,70.39,7,6,"female",65.5
"468",468,"106",69.5,66,70.39,7,7,"female",64.5
"469",469,"107",69,66,70.14,9,1,"male",73
"470",470,"107",69,66,70.14,9,2,"male",72
"471",471,"107",69,66,70.14,9,3,"male",69
"472",472,"107",69,66,70.14,9,4,"male",69
"473",473,"107",69,66,70.14,9,5,"female",66.5
"474",474,"107",69,66,70.14,9,6,"female",65.5
"475",475,"107",69,66,70.14,9,7,"female",65.5
"476",476,"107",69,66,70.14,9,8,"female",65
"477",477,"107",69,66,70.14,9,9,"female",64
"478",478,"108",69,65,69.6,7,1,"male",70
"479",479,"108",69,65,69.6,7,2,"male",68.5
"480",480,"108",69,65,69.6,7,3,"male",67
"481",481,"108",69,65,69.6,7,4,"female",65
"482",482,"108",69,65,69.6,7,5,"female",64
"483",483,"108",69,65,69.6,7,6,"female",63.5
"484",484,"108",69,65,69.6,7,7,"female",61
"485",485,"109",69.5,64.5,69.58,7,1,"male",69.7
"486",486,"109",69.5,64.5,69.58,7,2,"male",68
"487",487,"109",69.5,64.5,69.58,7,3,"male",60
"488",488,"109",69.5,64.5,69.58,7,4,"female",65.2
"489",489,"109",69.5,64.5,69.58,7,5,"female",64.5
"490",490,"109",69.5,64.5,69.58,7,6,"female",63.7
"491",491,"109",69.5,64.5,69.58,7,7,"female",60
"492",492,"110",69.2,64,69.16,4,1,"male",71.7
"493",493,"110",69.2,64,69.16,4,2,"male",66.5
"494",494,"110",69.2,64,69.16,4,3,"female",65
"495",495,"110",69.2,64,69.16,4,4,"female",63.5
"496",496,"111",69,63.5,68.79,1,1,"female",65.5
"497",497,"112",69,63,68.52,3,1,"male",69
"498",498,"112",69,63,68.52,3,2,"female",67.5
"499",499,"112",69,63,68.52,3,3,"female",63.5
"500",500,"113",69,63,68.52,1,1,"male",72
"501",501,"114",69,63,68.52,6,1,"male",73
"502",502,"114",69,63,68.52,6,2,"male",70
"503",503,"114",69,63,68.52,6,3,"male",70
"504",504,"114",69,63,68.52,6,4,"male",64
"505",505,"114",69,63,68.52,6,5,"female",66
"506",506,"114",69,63,68.52,6,6,"female",62
"507",507,"115",69,63.5,68.79,7,1,"male",70.5
"508",508,"115",69,63.5,68.79,7,2,"male",67
"509",509,"115",69,63.5,68.79,7,3,"male",66
"510",510,"115",69,63.5,68.79,7,4,"female",65
"511",511,"115",69,63.5,68.79,7,5,"female",63
"512",512,"115",69,63.5,68.79,7,6,"female",62
"513",513,"115",69,63.5,68.79,7,7,"female",61
"514",514,"116",69,63.5,68.79,3,1,"male",70.5
"515",515,"116",69,63.5,68.79,3,2,"female",63.7
"516",516,"116",69,63.5,68.79,3,3,"female",63
"517",517,"117",69.7,62,68.33,1,1,"female",62.5
"518",518,"118",69.5,62,68.23,3,1,"male",73
"519",519,"118",69.5,62,68.23,3,2,"male",72
"520",520,"118",69.5,62,68.23,3,3,"male",69
